docket,county,subdivision,court_room,hearing_type,day_of_week,day,month,time,am_pm,street,city,zip_code,division
63-3-20,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,22,Jun,9:30,AM,7 Mahady Court , Middlebury,05753,civil
86-5-20,addison,civil,Superior Court Courtroom 2,Status Conference,Tuesday,22,Jun,9:45,AM,7 Mahady Court , Middlebury,05753,civil
189-9-19,addison,civil,Superior Court Courtroom 2,Bench Trial,Friday,25,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,civil
241-8-20,addison,criminal,Superior Court Courtroom 1,Change of Plea Hearing,Wednesday,2,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,criminal
199-7-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,7,Jun,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
242-8-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,7,Jun,1:30,PM,7 Mahady Court , Middlebury,05753,criminal
86-3-20,addison,criminal,Superior Court Courtroom 1,VOP Status Conference,Monday,14,Jun,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
89-3-20,addison,criminal,Superior Court Courtroom 1,Status Conference,Monday,12,Jul,10:00,AM,7 Mahady Court , Middlebury,05753,criminal
56-5-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Wednesday,28,Apr,9:00,AM,7 Mahady Court , Middlebury,05753,family
145-10-18,addison,domestic,Case Manager Conference Room,Case Management Conference,Thursday,29,Apr,11:00,AM,7 Mahady Court , Middlebury,05753,family
166-11-19,addison,domestic,Case Manager Conference Room,Case Management Conference,Thursday,29,Apr,1:00,PM,7 Mahady Court , Middlebury,05753,family
47-4-20,addison,domestic,Superior Court Courtroom 1,Motion Hearing,Friday,30,Apr,9:00,AM,7 Mahady Court , Middlebury,05753,family
89-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,1,Jun,10:00,AM,7 Mahady Court , Middlebury,05753,family
88-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,1,Jun,10:00,AM,7 Mahady Court , Middlebury,05753,family
87-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,1,Jun,10:00,AM,7 Mahady Court , Middlebury,05753,family
131-7-14,addison,domestic,Superior Court Courtroom 2,Motion Hearing,Wednesday,2,Jun,11:00,AM,7 Mahady Court , Middlebury,05753,family
107-7-19,addison,domestic,Case Manager Conference Room,Case Management Conference,Thursday,3,Jun,1:00,PM,7 Mahady Court , Middlebury,05753,family
66-4-16,addison,domestic,Superior Court Courtroom 2,Magistrate Enforcement Hearing,Thursday,3,Jun,8:30,AM,7 Mahady Court , Middlebury,05753,family
75-3-11,addison,domestic,Superior Court Courtroom 2,Magistrate Enforcement Hearing,Thursday,3,Jun,9:30,AM,7 Mahady Court , Middlebury,05753,family
120-8-19,addison,domestic,Superior Court Courtroom 1,Contested Dissolution Hearing,Thursday,3,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
92-5-09,addison,domestic,Superior Court Courtroom 1,Parent-Child Contact Review Hearing,Thursday,3,Jun,1:30,PM,7 Mahady Court , Middlebury,05753,family
82-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,15,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
83-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,15,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
84-8-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,15,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
70-8-17,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,15,Jun,10:30,AM,7 Mahady Court , Middlebury,05753,family
15-1-05,addison,domestic,Superior Court Courtroom 2,Status Conference,Wednesday,16,Jun,11:00,AM,7 Mahady Court , Middlebury,05753,family
45-3-17,addison,domestic,Superior Court Courtroom 2,Status Conference,Wednesday,16,Jun,11:30,AM,7 Mahady Court , Middlebury,05753,family
12-2-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Wednesday,16,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
188-12-19,addison,domestic,Superior Court Courtroom 1,Contested Dissolution Hearing,Thursday,17,Jun,9:00,AM,7 Mahady Court , Middlebury,05753,family
46-4-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,9:00,AM,7 Mahady Court , Middlebury,05753,family
24-7-20,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,9:30,AM,7 Mahady Court , Middlebury,05753,family
56-5-19,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,10:00,AM,7 Mahady Court , Middlebury,05753,family
76-9-17,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,10:30,AM,7 Mahady Court , Middlebury,05753,family
77-9-17,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,10:30,AM,7 Mahady Court , Middlebury,05753,family
78-9-17,addison,juvenile,Superior Court Courtroom 1,Juvenile Confidential Hearing,Tuesday,13,Jul,10:30,AM,7 Mahady Court , Middlebury,05753,family
293-10-18,bennington,civil,Civil/Probate Courtroom 1,Pre Trial Conference,Friday,30,Apr,9:00,AM,207 South Street , Bennington,05201,civil
135-8-20,bennington,civil,Civil/Probate Courtroom 1,Motion Hearing,Monday,21,Jun,9:00,AM,207 South Street , Bennington,05201,civil
122-7-20,bennington,civil,Civil/Probate Courtroom 1,Motion Hearing,Monday,21,Jun,10:30,AM,207 South Street , Bennington,05201,civil
327-9-15,bennington,civil,Family/Criminal Courtroom 4,Bench Trial,Tuesday,29,Jun,9:00,AM,207 South Street , Bennington,05201,civil
559-5-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Wednesday,28,Apr,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1005-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Wednesday,28,Apr,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
230-3-18,bennington,criminal,Family/Criminal Courtroom 3,VOP Change Of Plea Hearing,Wednesday,28,Apr,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
85-1-20,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
339-4-20,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
546-5-19,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
566-7-20,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
613-5-19,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1032-9-19,bennington,criminal,Family/Criminal Courtroom 3,Sentencing Hearing,Wednesday,28,Apr,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1200-12-15,bennington,criminal,Family/Criminal Courtroom 3,VOP Merits Hearing,Wednesday,28,Apr,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
488-5-16,bennington,criminal,Family/Criminal Courtroom 3,VOP Merits Hearing,Wednesday,28,Apr,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
861-7-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Wednesday,28,Apr,3:00,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
371-3-19,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Thursday,29,Apr,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1313-11-19,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Friday,30,Apr,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
342-4-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
345-4-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
210-3-18,bennington,criminal,Family/Criminal Courtroom 3,VOP Merits Hearing,Friday,30,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1142-9-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Merits Hearing,Friday,30,Apr,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
146-2-20,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Friday,30,Apr,10:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1336-11-19,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Friday,30,Apr,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
270-3-18,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
654-6-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
24-1-14,bennington,criminal,Family/Criminal Courtroom 3,Motion Hearing,Friday,30,Apr,2:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1417-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,2:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
44-1-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,2:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
64-1-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,30,Apr,2:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
445-4-19,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Tuesday,1,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
548-5-19,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Tuesday,1,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
53-1-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
165-2-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
481-6-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
486-6-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
537-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
640-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
817-9-17,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1086-11-17,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1102-9-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,1,Jun,9:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
285-3-18,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
323-4-18,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
578-6-18,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
987-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1378-12-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1413-12-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
988-8-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1140-9-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1227-10-19,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Tuesday,1,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
30-6-20,bennington,civil suspension,Family/Criminal Courtroom 3,Civil Suspension Final Hearing,Wednesday,2,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
575-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Wednesday,2,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1422-12-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1420-12-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1468-12-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
56-1-20,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1118-9-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1200-10-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1415-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
164-2-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
219-2-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
314-3-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
328-4-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
329-4-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
350-5-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
502-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
514-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
539-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
605-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
613-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
629-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
689-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
15-1-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
614-5-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
768-6-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
869-7-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
965-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
974-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
986-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1073-9-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1122-9-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1249-10-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1332-11-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
93-1-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
267-3-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
579-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
627-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
659-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
660-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,4,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
277-3-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,7,Jun,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
625-8-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,7,Jun,11:15,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
985-8-19,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Monday,7,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1324-11-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,7,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
393-5-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,7,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
821-7-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,7,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
690-8-20,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Friday,11,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
129-1-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Friday,11,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
113-2-18,bennington,criminal,Family/Criminal Courtroom 3,State of Vermont v.,Monday,14,Jun,08:15,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
334-3-19,bennington,criminal,Family/Criminal Courtroom 3,State of Vermont v.,Monday,14,Jun,08:15,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
173-2-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
854-7-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
972-8-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1311-11-19,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
194-2-20,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
14-2-20,bennington,civil suspension,Family/Criminal Courtroom 3,Calendar Call,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
376-5-20,bennington,criminal,Family/Criminal Courtroom 3,Calendar Call,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
624-8-20,bennington,criminal,Family/Criminal Courtroom 3,Confidential Hearing,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
19-1-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
77-1-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
109-1-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
110-1-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
111-1-20,bennington,criminal,Family/Criminal Courtroom 3,Pre Trial Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1458-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1476-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1508-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
82-1-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
177-2-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
311-3-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
340-4-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
366-5-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
499-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
503-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
33-7-20,bennington,civil suspension,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
538-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
650-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
668-8-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
646-7-18,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
62-1-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
130-1-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
202-2-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
1269-10-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
156-2-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
240-3-14,bennington,criminal,Family/Criminal Courtroom 3,VOP Status Conference,Monday,14,Jun,1:30,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
27-5-20,bennington,civil suspension,Family/Criminal Courtroom 3,Civil Suspension Final Hearing,Tuesday,15,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
367-5-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,15,Jun,9:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
295-3-19,bennington,criminal,Family/Criminal Courtroom 3,Change of Plea Hearing,Tuesday,15,Jun,10:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
82-12-19,bennington,civil suspension,Family/Criminal Courtroom 3,Status Conference,Tuesday,15,Jun,10:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
1408-12-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference/Change of Plea,Tuesday,15,Jun,10:30,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
55-1-19,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Tuesday,15,Jun,11:00,AM,200 Veterans Memorial Drive , Bennington,05201,criminal
538-7-20,bennington,criminal,Family/Criminal Courtroom 3,Status Conference,Wednesday,16,Jun,2:00,PM,200 Veterans Memorial Drive , Bennington,05201,criminal
